file,onset,duration,,file,onset,duration,
G62939005,19:57.8,0.138,,B62939005,17:21.6,0.65,B
G62939005,20:00.3,0.2,,B62939005,17:31.8,0.613,B
G62939005,20:05.4,0.125,,B62939005,17:32.9,1.763,B
G62939005,20:14.8,0.1,,B62939005,17:35.2,0.675,B
G62939005,20:17.5,0.15,,B62939005,17:36.3,0.675,B
G62939005,20:19.9,0.163,,B62939005,17:37.5,0.625,B
G62939005,20:20.2,0.175,,B62939005,17:41.5,0.512,B
G62939005,20:21.7,0.35,,B62939005,17:45.7,0.5,B
G62939005,20:22.2,0.175,,B62939005,17:54.8,0.588,B
G62939005,20:28.5,0.188,,B62939005,17:55.9,0.6,B
G62939005,20:28.9,0.113,,B62939005,17:57.0,0.625,B
G62939005,20:30.9,0.188,,B62939005,17:58.1,0.6,B
G62939005,20:33.7,0.163,,B62939005,17:59.2,0.65,B
G62939005,20:36.1,0.35,,B62939005,18:00.3,0.637,B
G62939005,20:37.7,0.25,,B62939005,18:04.3,0.575,B
G62939005,20:37.9,0.225,,B62939005,18:05.7,0.6,B
G62939005,20:38.2,0.188,,B62939005,18:09.9,0.575,B
G62939005,20:39.0,0.15,,B62939005,18:12.4,0.487,B
G62939005,20:42.7,0.2,,B62939005,18:22.5,0.537,B
G62939005,20:50.9,0.087,,B62939005,18:23.6,0.575,B
G62939005,20:59.0,0.2,,B62939005,18:24.8,0.675,B
G62939005,20:59.5,0.2,,B62939005,18:26.0,0.625,B
G62939005,21:04.7,0.138,,B62939005,18:27.2,0.713,B
G62939005,21:08.9,0.15,,B62939005,18:30.5,0.85,B
G62939005,21:15.1,0.175,,B62939005,18:31.6,0.775,B
G62939005,21:18.6,0.175,,B62939005,18:32.8,0.65,B
G62939005,21:25.3,0.237,,B62939005,18:34.0,0.613,B
G62939005,21:28.8,0.2,,B62939005,18:35.2,0.725,B
G62939005,21:30.4,0.188,,B62939005,18:42.1,0.537,B
G62939005,21:32.4,0.113,,B62939005,18:43.4,0.575,B
G62939005,21:34.5,0.237,,B62939005,18:44.9,0.625,B
G62939005,21:36.6,0.188,,B62939005,18:49.1,0.5,B
G62939005,21:38.4,0.188,,B62939005,18:50.2,0.55,B
